home_team, away_team, home_team_fifa_rank, away_team_fifa_rank, neutral_location
226,125,40,121,0
65,165,79,7,0
162,9,43,3,0
116,213,110,59,0
167,61,92,31,0
108,34,108,134,0
5,65,149,77,0
10,212,79,41,0
44,161,17,16,0
53,147,65,10,0
115,20,86,25,0
120,13,145,42,0
121,76,69,68,0
122,187,137,37,0
138,186,97,28,0
18,85,99,62,0
193,61,127,31,0
219,28,107,1,0
14,207,113,30,0
121,93,72,53,0
147,165,9,7,0
155,212,12,40,0
180,104,47,49,1
112,180,74,47,1
78,211,48,100,1
64,171,163,140,1
108,211,104,100,0
226,171,45,140,0
35,220,181,110,1
114,127,165,106,1
114,220,165,110,1
3,31,80,55,0
42,9,19,3,0
80,186,42,27,0
178,115,169,94,0
191,147,6,10,0
207,70,29,2,0
219,60,111,58,0
220,96,98,105,1
220,127,98,109,1
189,66,195,141,1
108,171,106,127,1
56,34,192,129,1
3,169,82,13,0
92,65,128,72,0
136,9,12,3,1
169,106,13,105,1
95,94,122,50,0
206,142,26,28,0
227,117,68,136,0
92,106,123,105,1
129,87,98,82,0
32,129,69,98,0
136,31,12,54,0
22,36,148,36,0
78,118,58,89,0
203,36,78,36,0
136,44,12,15,1
196,69,24,60,0
16,112,138,72,1
68,127,141,108,0
185,16,101,138,0
140,220,197,99,1
202,196,61,24,0
140,17,197,151,1
202,167,61,100,0
14,217,116,74,1
17,220,144,99,1
156,69,107,60,0
156,69,107,60,0
32,227,68,70,0
126,190,112,19,0
53,121,62,87,0
112,16,71,129,0
102,9,4,3,0
106,31,104,52,0
120,115,148,93,0
121,169,87,13,1
122,69,141,60,0
130,196,119,24,0
187,216,37,33,0
197,164,59,38,1
92,127,123,108,0
184,193,131,135,0
27,143,150,114,1
92,167,123,100,0
27,126,150,113,0
5,147,146,9,1
117,227,132,65,0
122,67,142,119,0
125,144,112,87,0
130,55,121,24,0
155,164,14,32,0
169,102,13,5,0
34,3,127,81,0
76,169,67,13,0
80,77,44,11,0
138,196,97,21,0
216,161,34,8,0
156,193,101,120,0
177,204,174,185,1
89,52,183,80,0
4,177,203,174,1
177,68,174,133,1
146,107,170,124,1
4,204,203,178,1
16,156,116,100,0
204,68,178,133,1
123,98,183,85,1
42,216,28,39,0
