home_team, away_team, home_team_fifa_rank, away_team_fifa_rank, neutral_location
101,138,50,104,0
102,191,11,3,0
115,94,52,60,0
144,27,144,113,0
165,196,17,21,0
212,186,65,55,0
226,227,77,49,0
48,177,191,181,1
160,218,178,162,1
62,90,101,86,1
227,226,48,80,0
53,106,97,43,0
52,82,77,145,0
70,28,2,1,0
203,22,99,125,0
13,170,73,30,0
116,16,109,60,0
143,27,128,113,0
129,142,45,32,0
171,211,98,101,0
181,87,31,92,1
3,106,53,43,0
65,55,71,14,0
96,95,95,139,0
3,6,53,87,0
73,227,118,48,0
126,142,106,32,0
9,161,5,25,0
12,188,89,154,0
42,28,77,1,0
115,14,52,116,0
162,219,81,49,0
52,49,80,26,0
90,103,88,51,1
194,85,154,87,0
197,51,47,20,1
55,102,15,10,1
78,203,89,94,0
77,147,8,5,1
80,191,35,3,1
51,70,20,2,1
102,196,10,18,1
119,36,82,12,0
115,77,53,8,1
129,226,46,77,0
22,193,122,105,0
23,62,164,104,0
49,52,26,80,0
227,3,48,52,0
55,196,15,18,1
73,6,122,85,0
126,87,101,92,0
211,78,97,89,0
22,61,122,29,0
118,203,106,94,0
162,25,72,97,0
136,216,6,32,1
202,106,64,40,0
161,42,29,66,1
162,44,75,36,0
219,25,50,99,1
180,208,21,93,1
16,167,51,54,1
159,85,106,88,0
106,213,40,71,1
91,159,54,106,0
211,108,100,87,0
3,32,58,79,0
54,80,5,14,0
106,14,37,118,0
155,20,38,31,0
196,147,20,6,0
16,112,45,54,0
106,116,37,108,0
180,112,27,55,0
20,121,29,118,0
37,91,99,47,0
55,212,15,87,0
70,101,2,69,0
142,206,33,36,0
170,186,26,71,0
207,76,13,112,0
42,44,66,28,0
129,181,43,31,0
77,28,11,1,0
80,207,14,13,0
91,85,47,64,0
155,19,38,77,0
192,96,143,92,0
112,198,55,84,1
103,85,53,64,1
116,112,109,60,0
180,198,27,87,0
